代码,名称,收盘价,涨跌幅,换手率,龙虎榜净买额(万),市场总成交额(万),Ntransac,上榜原因,Oldid,龙虎榜卖出额(万),龙虎榜买入额(万),龙虎榜成交额(万),上榜日,净买额占总成交比,成交额占总成交比,流通市场(亿),上榜后1日,Rchange1do,上榜后2日,Rchange2do,Rchange3dc,Rchange3do,上榜后5日,Rchange5do,上榜后10日,Rchange10do,Rchange15dc,Rchange15do,Rchange20dc,Rchange20do,Rchange30dc,Rchange30do,Rchange1m,Rchange3m,Rchange6m,Rchange1y,SumCount,JGBSumCount,JGSSumCount,JGBMoney,JGSMoney,JGJMMoney,解读
000070,特发信息,18.48,10,10.159,103589,1109190,60990000,日涨幅偏离值达到7%的前五只证券,3243720,63955,167544,231499,2019-04-22,9.34,20.87,111,,,,,,,,,,,,,,,,,18.61360718,69.5412844,200,85.03128956,,,,,,,实力游资买入，成功率42.45%
000159,国际实业,14.5,5.1487,34.092,41253,2433230,163880000,日换手率达到20%的前五只证券,3243725,142164,183417,325581,2019-04-22,1.70,13.38,70,,,,,,,,,,,,,,,,,49.79338842,240.37558698,314.28571415,246.06205246,,,,,,,实力游资买入，成功率38.00%
000571,ST大洲,3.12,-4.8781,10.052,8559,291070,92430000,连续三个交易日内，跌幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券,3243732,54842,63402,118244,2019-04-22,2.94,40.62,25,,,,,,,,,,,,,,,,,-18.53786167,-0.31949209,22.35293719,-43.98563919,,,,,,,1家机构卖出，成功率47.64%
000610,西安旅游,18.07,9.9817,28.322,39218,1147980,66630000,日涨幅偏离值达到7%的前五只证券,3243719,51392,90610,142003,2019-04-22,3.42,12.37,43,,,,,,,,,,,,,,,,,62.35399823,123.08641982,256.41025633,87.25388604,,,,,,,买一主买，成功率50.08%
000610,西安旅游,18.07,9.9817,28.322,39218,1147980,66630000,日换手率达到20%的前五只证券,3243728,51392,90610,142003,2019-04-22,3.42,12.37,43,,,,,,,,,,,,,,,,,62.35399823,123.08641982,256.41025633,87.25388604,,,,,,,买一主买，成功率50.08%
000650,仁和药业,8.84,7.8049,10.147,125476,2252170,269870000,连续三个交易日内，涨幅偏离值累计达到20%的证券,3243731,190471,315948,506419,2019-04-22,5.57,22.49,109,,,,,,,,,,,,,,,,,31.35215454,51.62950258,34.14264037,86.26788097,,,,,,,1家机构买入，成功率47.12%
000702,正虹科技,7.58,10.0145,7.214,23163,142240,19240000,日涨幅偏离值达到7%的前五只证券,3243723,36843,60005,96848,2019-04-22,16.28,68.09,20,,,,,,,,,,,,,,,,,12.1301775,36.33093516,62.66094408,25.08250818,,,,,,,买一主买，成功率50.75%
000723,美锦能源,18.6,-7.1856,22.175,28815,4583490,239760000,日换手率达到20%的前五只证券,3243729,297334,326149,623483,2019-04-22,0.63,13.60,201,,,,,,,,,,,,,,,,,175.14792902,346.0431654,449.40120479,261.20852691,,,,,,,主力做T，成功率38.59%
000737,ST南风,4.09,-4.8837,4.508,-7021,115130,27680000,连续三个交易日内，跌幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券,3243733,25307,18286,43592,2019-04-22,-6.10,37.86,22,,,,,,,,,,,,,,,,,-12.60683649,34.53947542,67.62295282,20.29411917,,,,,,,浙江资金卖出，成功率23.33%
000836,富通鑫茂,5.97,4.3706,28.669,51470,4102380,718830000,连续三个交易日内，涨幅偏离值累计达到20%的证券,3243730,165929,217399,383328,2019-04-22,1.25,9.34,72,,,,,,,,,,,,,,,,,22.58726902,43.85542172,71.55172415,42.40815247,,,,,,,主力做T，成功率46.34%
000836,富通鑫茂,5.97,4.3706,28.669,15392,2107960,346430000,日换手率达到20%的前五只证券,3243727,116469,131861,248330,2019-04-22,0.73,11.78,72,,,,,,,,,,,,,,,,,22.58726902,43.85542172,71.55172415,42.40815247,,,,,,,实力游资买入，成功率52.71%
000890,法尔胜,7.99,10.0551,14.151,-7817,417470,53720000,日涨幅偏离值达到7%的前五只证券,3243722,48072,40256,88328,2019-04-22,-1.87,21.16,30,,,,,,,,,,,,,,,,,18.89880953,42.67857138,100.75376882,6.96117804,,,,,,,实力游资买入，成功率35.67%
000900,现代投资,5.76,9.9237,8.284,-29143,717850,125670000,日涨幅偏离值达到7%的前五只证券,3243721,84609,55467,140076,2019-04-22,-4.06,19.51,87,,,,,,,,,,,,,,,,,13.16306481,35.84905657,56.94822886,-5.74545318,,,,,,,实力游资买入，成功率57.59%
000958,东方能源,8.69,-9.0052,14.123,-27830,1403000,155250000,日跌幅偏离值达到7%的前五只证券,3243724,106527,78697,185224,2019-04-22,-1.98,13.20,96,,,,,,,,,,,,,,,,,77.34693877,146.87500009,195.57823135,108.98062776,,,,,,,西藏自治区资金卖出，成功率36.18%
000996,中国中期,19,0.211,28.963,-36697,2022490,99920000,日换手率达到20%的前五只证券,3243726,183832,147135,330967,2019-04-22,-1.81,16.36,66,,,,,,,,,,,,,,,,,32.5889742,102.34291799,161.34800547,54.72312705,,,,,,,实力游资买入，成功率53.76%
300023,宝德股份,8.69,10,15.813,3236,189000,22840000,日涨幅偏离值达到7%的前五只证券,3243409,28108,31344,59452,2019-04-22,1.71,31.46,13,,,,,,,,,,,,,,,,,10.98339717,39.04,19.86206895,-20.92811648,,,,,,,买一主买，成功率54.42%
300023,宝德股份,8.69,10,15.813,18881,334340,41860000,连续三个交易日内，涨幅偏离值累计达到20%的证券,3243427,28745,47626,76371,2019-04-22,5.65,22.84,13,,,,,,,,,,,,,,,,,10.98339717,39.04,19.86206895,-20.92811648,,,,,,,主力做T，成功率35.64%
300104,乐视网,2.26,-9.9602,8.851,-16917,620310,272000000,日跌幅偏离值达到7%的前五只证券,3243411,37228,20310,57538,2019-04-22,-2.73,9.28,69,,,,,,,,,,,,,,,,,-25.65789473,-20.42253521,-12.74131274,-59.85790408,,,,,,,实力游资卖出，成功率34.74%
300116,坚瑞沃能,2.3,10.0478,11.265,-7261,334030,145790000,日涨幅偏离值达到7%的前五只证券,3243405,47627,40366,87992,2019-04-22,-2.17,26.34,30,,,,,,,,,,,,,,,,,2.22222218,26.37362637,65.46762584,-43.90243903,,,,,,,上海资金买入，成功率48.11%
300116,坚瑞沃能,2.3,10.0478,11.265,14825,402170,178390000,连续三个交易日内，涨幅偏离值累计达到20%的证券,3243426,47668,62493,110161,2019-04-22,3.69,27.39,30,,,,,,,,,,,,,,,,,2.22222218,26.37362637,65.46762584,-43.90243903,,,,,,,实力游资买入，成功率50.87%
300128,锦富技术,6.07,4.6552,20.653,46310,2188040,372980000,连续三个交易日内，涨幅偏离值累计达到20%的证券,3243425,159596,205906,365501,2019-04-22,2.12,16.70,65,,,,,,,,,,,,,,,,,19.01960785,80.11869438,102.33333332,-11.1966146,,,,,,,主力做T，成功率55.18%
300152,科融环境,3.89,9.887,8.071,54520,217550,57530000,日涨幅偏离值达到7%的前五只证券,3243407,11723,66242,77965,2019-04-22,25.06,35.84,28,,,,,,,,,,,,,,,,,16.46706591,77.62557075,77.62557075,-4.55742161,,,,,,,实力游资买入，成功率52.17%
300194,福安药业,9.92,-9.9819,26.567,-74976,1657190,159330000,日振幅值达到15%的前五只证券,3243417,161709,86733,248442,2019-04-22,-4.52,14.99,59,,,,,,,,,,,,,,,,,155.01285341,185.05747124,211.94968552,91.67024537,,,,,,,实力游资卖出，成功率42.22%
300194,福安药业,9.92,-9.9819,26.567,-74976,1657190,159330000,日跌幅偏离值达到7%的前五只证券,3243410,161709,86733,248442,2019-04-22,-4.52,14.99,59,,,,,,,,,,,,,,,,,155.01285341,185.05747124,211.94968552,91.67024537,,,,,,,实力游资卖出，成功率42.22%
300238,冠昊生物,19.86,10.0277,0.503,44862,106810,5880000,连续三个交易日内，涨幅偏离值累计达到20%的证券,3243430,13471,58333,71805,2019-04-22,42.00,67.23,49,,,,,,,,,,,,,,,,,23.12461251,98.40159841,119.205298,5.24642403,,,,,,,买一主买，成功率57.06%
300265,通光线缆,12.46,9.9735,4.697,20950,196790,15820000,日涨幅偏离值达到7%的前五只证券,3243408,41872,62822,104694,2019-04-22,10.65,53.20,42,,,,,,,,,,,,,,,,,33.69098713,37.22466961,91.69230772,83.83284031,,,,,,,实力游资买入，成功率48.64%
300265,通光线缆,12.46,9.9735,4.697,42227,328690,27700000,连续三个交易日内，涨幅偏离值累计达到20%的证券,3243428,42783,85011,127794,2019-04-22,12.85,38.88,42,,,,,,,,,,,,,,,,,33.69098713,37.22466961,91.69230772,83.83284031,,,,,,,实力游资买入，成功率49.42%
300397,天和防务,25,-9.2559,10.629,-60389,443600,16480000,日振幅值达到15%的前五只证券,3243416,101961,41572,143534,2019-04-22,-13.61,32.36,39,,,,,,,,,,,,,,,,,11.20996442,140.38461545,166.24068165,50.06002401,,,,,,,实力游资卖出，成功率44.51%
300397,天和防务,25,-9.2559,10.629,-60389,443600,16480000,日跌幅偏离值达到7%的前五只证券,3243413,101961,41572,143534,2019-04-22,-13.61,32.36,39,,,,,,,,,,,,,,,,,11.20996442,140.38461545,166.24068165,50.06002401,,,,,,,实力游资卖出，成功率44.51%
300435,中泰股份,20.92,4.1833,25.152,-18566,631060,29810000,日换手率达到20%的前五只证券,3243422,105695,87130,192825,2019-04-22,-2.94,30.56,25,,,,,,,,,,,,,,,,,71.75697866,115.22633744,136.91959235,79.83820636,,,,,,,实力游资买入，成功率44.79%
300471,厚普股份,17.08,-7.4756,26.264,-43744,1277890,71770000,日换手率达到20%的前五只证券,3243420,117379,73635,191015,2019-04-22,-3.42,14.95,47,,,,,,,,,,,,,,,,,44.01349072,155.30642752,238.88888884,114.41108568,,,,,,,实力游资卖出，成功率49.44%
300492,山鼎设计,38.34,10.0144,8.529,64635,114650,3080000,日振幅值达到15%的前五只证券,3243418,12533,77168,89701,2019-04-22,56.38,78.24,14,,,,,,,,,,,,,,,,,46.72789898,89.99008921,91.7,50.16398598,,,,,,,上海资金买入，成功率14.44%
300492,山鼎设计,38.34,10.0144,8.529,70454,202580,5630000,连续三个交易日内，涨幅偏离值累计达到20%的证券,3243429,44285,114739,159024,2019-04-22,34.78,78.50,14,,,,,,,,,,,,,,,,,46.72789898,89.99008921,91.7,50.16398598,,,,,,,实力游资买入，成功率8.89%
300540,深冷股份,26.46,10.0208,14.345,-15492,235950,9190000,日涨幅偏离值达到7%的前五只证券,3243406,58320,42828,101148,2019-04-22,-6.57,42.87,17,,,,,,,,,,,,,,,,,85.03496504,104.79876165,129.09090902,102.11488901,,,,,,,实力游资买入，成功率36.13%
300628,亿联网络,100.3,-8.36,4.613,-65716,355850,3440000,日跌幅偏离值达到7%的前五只证券,3243414,95711,29995,125707,2019-04-22,-18.47,35.33,75,,,,,,,,,,,,,,,,,1.43608414,33.02387268,62.35027517,48.48205652,,,,,,,实力游资卖出，成功率43.78%
300698,万马科技,23.21,-3.4927,33.107,-13669,358040,15050000,日换手率达到20%的前五只证券,3243421,26955,13286,40241,2019-04-22,-3.82,11.24,11,,,,,,,,,,,,,,,,,28.65853658,36.52941181,72.05337283,-11.99330663,,,,,,,实力游资卖出，成功率24.03%
300743,天地数码,53.46,-10,45.707,-77802,419720,7540000,日振幅值达到15%的前五只证券,3243415,139354,61552,200906,2019-04-22,-18.54,47.87,9,,,,,,,,,,,,,,,,,32.29398661,38.10384913,15.71428569,265.20118993,,,,,,,广东资金卖出，成功率45.00%
300743,天地数码,53.46,-10,45.707,-77802,419720,7540000,日跌幅偏离值达到7%的前五只证券,3243412,139354,61552,200906,2019-04-22,-18.54,47.87,9,,,,,,,,,,,,,,,,,32.29398661,38.10384913,15.71428569,265.20118993,,,,,,,广东资金卖出，成功率45.00%
300743,天地数码,53.46,-10,45.707,-105808,845920,14110000,连续三个交易日内，跌幅偏离值累计达到20%的证券,3243433,228076,122269,350345,2019-04-22,-12.51,41.42,9,,,,,,,,,,,,,,,,,32.29398661,38.10384913,15.71428569,265.20118993,,,,,,,实力游资卖出，成功率49.72%
300743,天地数码,53.46,-10,45.707,-77802,419720,7540000,日换手率达到20%的前五只证券,3243419,139354,61552,200906,2019-04-22,-18.54,47.87,9,,,,,,,,,,,,,,,,,32.29398661,38.10384913,15.71428569,265.20118993,,,,,,,广东资金卖出，成功率45.00%
300766,每日互动,69.56,1.5474,25.146,4865,699550,10080000,日换手率达到20%的前五只证券,3243423,48757,53622,102379,2019-04-22,0.70,14.63,28,,,,,,,,,,,,,,,,,431.80428135,431.80428135,431.80428135,431.80428135,,,,,,,主力做T，成功率51.26%
300768,迪普科技,28.66,10.0192,0.158,3198,3360,120000,连续三个交易日内，涨幅偏离值累计达到20%的证券,3243432,159,3358,3517,2019-04-22,95.19,104.68,11,,,,,,,,,,,,,,,,,155.20926091,155.20926091,155.20926091,155.20926091,,,,,,,上海资金买入，成功率70.00%
300769,德方纳米,96.9,10.0011,0.364,7027,7360,80000,连续三个交易日内，涨幅偏离值累计达到20%的证券,3243431,337,7363,7700,2019-04-22,95.47,104.62,10,,,,,,,,,,,,,,,,,131.9291527,131.9291527,131.9291527,131.9291527,,,,,,,买一主买，成功率48.20%
300771,智莱科技,43.55,44.0146,0.069,643,750,20000,无价格涨跌幅限制的证券,3243424,109,751,860,2019-04-22,85.67,114.70,11,,,,,,,,,,,,,,,,,44.01455026,44.01455026,44.01455026,44.01455026,,,,,,,买一主买，成功率57.14%
600207,安彩高科,6.39,-10,8.415,2916,383968,58062092,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前三只证券,3242992,31456,34372,65828,2019-04-22,0.76,17.14,44,,,,,,,,,,,,,,,,,14.51612901,38.3116883,50.35294128,-21.40221401,,,,,,,上海资金卖出，成功率44.96%
600213,亚星客车,10.77,10.0102,14.838,21636,555613,54676578,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,3243002,56901,78538,135439,2019-04-22,3.89,24.38,24,,,,,,,,,,,,,,,,,33.45724911,65.69230764,95.46279511,18.48184825,,,,,,,买一主买，成功率54.08%
600218,全柴动力,22.78,0.5296,37.5,-141063,3210536,138284060,有价格涨跌幅限制的日换手率达到20%的前三只证券,3242997,311279,170215,481494,2019-04-22,-4.39,15.00,84,,,,,,,,,,,,,,,,,79.93680885,243.07228901,428.53828297,275.47795023,,,,,,,西藏自治区资金买入，成功率39.04%
600281,太化股份,5.78,7.635,11.728,3221,331719,60327005,有价格涨跌幅限制的日价格振幅达到15%的前三只证券,3242993,25232,28452,53684,2019-04-22,0.97,16.18,30,,,,,,,,,,,,,,,,,22.71762214,50.91383817,74.0963856,26.47702415,,,,,,,实力游资买入，成功率48.66%
