日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019/3/15,'600618,氯碱化工,None,8.69,7.98,None,7.95,0.46,None,None,15356234,128681981,9725323798,6306154198
2019/3/14,'600618,氯碱化工,7.95,8.33,7.87,8.16,8.29,-0.34,-4.1013,0.9037,6776035,54508650,9193379809,5961227809
2019/3/13,'600618,氯碱化工,8.29,8.67,8.13,8.25,8.28,0.01,0.1208,1.4935,11198556,93798590,9586555801,6216173401
2019/3/12,'600618,氯碱化工,8.28,8.45,8.15,8.28,8.31,-0.03,-0.361,1.4938,11200903,92890330,9574991801,6208675001
2019/3/11,'600618,氯碱化工,8.31,8.31,7.56,7.68,7.66,0.65,8.4856,1.2649,9484556,75746070,9609683801,6231170201
2019/3/8,'600618,氯碱化工,7.66,8.09,7.66,8.07,8.13,-0.47,-5.7811,1.1151,8361243,65997060,8858023816,5743774216
2019/3/7,'600618,氯碱化工,8.13,8.22,7.93,8,8.02,0.11,1.3716,1.2336,9249673,74714460,9401531805,6096199005
2019/3/6,'600618,氯碱化工,8.02,8.04,7.86,8,7.94,0.08,1.0076,1.1371,8526116,67805541,9274327808,6013716608
2019/3/5,'600618,氯碱化工,7.94,7.96,7.77,7.86,7.86,0.08,1.0178,0.8294,6218831,48820766,9181815809,5953729409
2019/3/4,'600618,氯碱化工,7.86,7.92,7.75,7.78,7.74,0.12,1.5504,1.0717,8036166,63029413,9089303811,5893742211
2019/3/1,'600618,氯碱化工,7.74,7.78,7.6,7.74,7.74,0,0,0.6274,4704198,36182840,8950535814,5803761414
2019/2/28,'600618,氯碱化工,7.74,7.89,7.6,7.67,7.67,0.07,0.9126,0.7495,5620008,43465714,8950535814,5803761414
2019/2/27,'600618,氯碱化工,7.67,7.83,7.61,7.72,7.73,-0.06,-0.7762,0.8886,6663428,51568732,8869587816,5751272616
2019/2/26,'600618,氯碱化工,7.73,8.15,7.47,7.55,7.56,0.17,2.2487,1.4667,10998276,85873722,8938971814,5796263014
2019/2/25,'600618,氯碱化工,7.56,7.6,7.26,7.31,7.25,0.31,4.2759,1.1034,8273804,61744347,8742383819,5668790219
2019/2/22,'600618,氯碱化工,7.25,7.26,7.12,7.16,7.16,0.09,1.257,0.5169,3875793,27856757,8383899826,5436339826
2019/2/21,'600618,氯碱化工,7.16,7.29,7.14,7.21,7.25,-0.09,-1.2414,0.5727,4293979,30960519,8279823828,5368854228
2019/2/20,'600618,氯碱化工,7.25,7.27,7.15,7.22,7.23,0.02,0.2766,0.4391,3292742,23688244,8383899826,5436339826
2019/2/19,'600618,氯碱化工,7.23,7.32,7.16,7.31,7.29,-0.06,-0.823,0.5553,4163917,30146155,8360771826,5421343026
2019/2/18,'600618,氯碱化工,7.29,7.29,7.12,7.12,7.1,0.19,2.6761,0.6223,4666169,33666189,8430155825,5466333425
2019/2/15,'600618,氯碱化工,7.1,7.18,7.08,7.13,7.14,-0.04,-0.5602,0.3184,2387721,17027841,8210439830,5323863830
2019/2/14,'600618,氯碱化工,7.14,7.22,7.08,7.18,7.19,-0.05,-0.6954,0.4334,3249876,23218330,8256695829,5353857429
2019/2/13,'600618,氯碱化工,7.19,7.25,7.08,7.15,7.14,0.05,0.7003,0.7146,5358389,38360625,8314515827,5391349427
2019/2/12,'600618,氯碱化工,7.14,7.27,6.97,6.97,7,0.14,2,0.7044,5281833,37693713,8256695829,5353857429
2019/2/11,'600618,氯碱化工,7,7.03,6.9,6.92,6.9,0.1,1.4493,0.5274,3954805,27571740,8094799832,5248879832
2019/2/1,'600618,氯碱化工,6.9,6.92,6.62,6.62,6.58,0.32,4.8632,0.455,3411636,23301218,7979159834,5173895834
2019/1/31,'600618,氯碱化工,6.58,6.79,6.56,6.74,6.72,-0.14,-2.0833,0.2965,2223054,14894778,7609111842,4933947042
2019/1/30,'600618,氯碱化工,6.72,6.87,6.72,6.83,6.86,-0.14,-2.0408,0.2651,1988000,13469960,7771007839,5038924639
2019/1/29,'600618,氯碱化工,6.86,6.88,6.61,6.81,6.81,0.05,0.7342,0.3576,2681438,18234418,7932903835,5143902235
2019/1/28,'600618,氯碱化工,6.81,7.03,6.8,6.98,6.96,-0.15,-2.1552,0.4365,3272948,22620895,7875083837,5106410237
2019/1/25,'600618,氯碱化工,6.96,6.97,6.81,6.87,6.86,0.1,1.4577,0.4148,3110349,21470669,8048543833,5218886233
2019/1/24,'600618,氯碱化工,6.86,6.89,6.78,6.82,6.85,0.01,0.146,0.2699,2024078,13854863,7932903835,5143902235
2019/1/23,'600618,氯碱化工,6.85,6.88,6.71,6.72,6.79,0.06,0.8837,0.2271,1703083,11570892,7921339836,5136403836
2006/1/9,'600618,氯碱化工,0,0,0,0,5.12,None,None,0,0,0,5962153303,142501990.4
2019/1/22,'600618,氯碱化工,6.79,6.96,6.73,6.83,6.88,-0.09,-1.3081,0.3129,2346115,16062619,7851955837,5091413437
2019/1/21,'600618,氯碱化工,6.88,6.9,6.79,6.81,6.85,0.03,0.438,0.288,2159787,14794644,7956031835,5158899035
2019/1/18,'600618,氯碱化工,6.85,6.96,6.71,6.86,6.89,-0.04,-0.5806,0.4836,3626028,24729898,7921339836,5136403836
2019/1/17,'600618,氯碱化工,6.89,7.11,6.71,6.77,6.77,0.12,1.7725,0.6166,4623862,32141367,7967595835,5166397435
2019/1/16,'600618,氯碱化工,6.77,6.92,6.76,6.86,6.86,-0.09,-1.312,0.2397,1797115,12253402,7828827838,5076416638
2019/1/15,'600618,氯碱化工,6.86,6.88,6.71,6.75,6.76,0.1,1.4793,0.2483,1861770,12628766,7932903835,5143902235
2019/1/14,'600618,氯碱化工,6.76,6.79,6.66,6.72,6.73,0.03,0.4458,0.2294,1720455,11577627,7817263838,5068918238
2019/1/11,'600618,氯碱化工,6.73,6.76,6.67,6.69,6.72,0.01,0.1488,0.18,1349687,9057794,7782571838,5046423038
2019/1/10,'600618,氯碱化工,6.72,6.77,6.66,6.68,6.7,0.02,0.2985,0.1932,1448934,9747706,7771007839,5038924639
2019/1/9,'600618,氯碱化工,6.7,6.79,6.69,6.69,6.69,0.01,0.1495,0.2698,2023413,13654149,7747879839,5023927839
2019/1/8,'600618,氯碱化工,6.69,6.74,6.66,6.72,6.72,-0.03,-0.4464,0.1978,1483100,9936389,7736315839,5016429439
2019/1/7,'600618,氯碱化工,6.72,6.74,6.62,6.66,6.63,0.09,1.3575,0.308,2309543,15446221,7771007839,5038924639
2019/1/4,'600618,氯碱化工,6.63,6.63,6.41,6.45,6.48,0.15,2.3148,0.2578,1933327,12646369,7666931841,4971439041
2019/1/3,'600618,氯碱化工,6.48,6.6,6.44,6.54,6.47,0.01,0.1546,0.1876,1406924,9164385,7493471844,4858963044
2019/1/2,'600618,氯碱化工,6.47,6.58,6.44,6.5,6.49,-0.02,-0.3082,0.1642,1231505,8005104,7481907845,4851464645
2018/12/28,'600618,氯碱化工,6.49,6.56,6.49,6.53,6.53,-0.04,-0.6126,0.1252,938465,6117222,7505035844,4866461444
2018/12/27,'600618,氯碱化工,6.53,6.68,6.52,6.67,6.55,-0.02,-0.3053,0.1662,1246494,8225193,7551291843,4896455043
2018/12/26,'600618,氯碱化工,6.55,6.61,6.5,6.58,6.57,-0.02,-0.3044,0.1174,880242,5774542,7574419843,4911451843
2018/12/25,'600618,氯碱化工,6.57,6.69,6.46,6.69,6.71,-0.14,-2.0864,0.2523,1891516,12383943,7597547842,4926448642
2018/12/24,'600618,氯碱化工,6.71,6.75,6.59,6.63,6.68,0.03,0.4491,0.2163,1622131,10825123,7759443839,5031426239
2018/12/21,'600618,氯碱化工,6.68,6.7,6.57,6.62,6.63,0.05,0.7541,0.1984,1487799,9892739,7724751840,5008931040
2018/12/20,'600618,氯碱化工,6.63,6.69,6.56,6.56,6.6,0.03,0.4545,0.219,1642069,10905601,7666931841,4971439041
2018/12/19,'600618,氯碱化工,6.6,6.74,6.58,6.71,6.75,-0.15,-2.2222,0.1893,1419173,9456619,7632239842,4948943842
2018/12/18,'600618,氯碱化工,6.75,6.8,6.6,6.68,6.68,0.07,1.0479,0.3684,2762745,18445068,7805699838,5061419838
2018/12/17,'600618,氯碱化工,6.68,6.78,6.61,6.74,6.74,-0.06,-0.8902,0.2426,1818789,12191462,7724751840,5008931040
2018/12/14,'600618,氯碱化工,6.74,6.92,6.73,6.88,6.89,-0.15,-2.1771,0.2137,1602193,10926258,7794135838,5053921438
2018/12/13,'600618,氯碱化工,6.89,6.96,6.77,6.81,6.83,0.06,0.8785,0.2723,2041791,14080470,7967595835,5166397435
2018/12/12,'600618,氯碱化工,6.83,6.89,6.81,6.82,6.79,0.04,0.5891,0.1863,1396607,9558116,7898211836,5121407036
2018/12/11,'600618,氯碱化工,6.79,6.9,6.77,6.86,6.85,-0.06,-0.8759,0.2113,1584109,10806258,7851955837,5091413437
